"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"3","2.64","KEGG_PATHWAY","Human cytomegalovirus infection","9","150","227","9375","3.32","2.82e-2","2.11e-1","2.48","1.00e+0","1.83e-1","1.06e-2","CXCL12,GNG2,ADCY4,PIK3R3,ADCY1,ADCY8,PTGS2,CREB5,VEGFA","hsa05163:Human cytomegalovirus infection"
"4","2.30","REACTOME_PATHWAY","Signaling by GPCR","24","179","718","11610","8.86","6.16e-4","1.72e-1","2.17","4.09e-1","1.68e-1","2.72e-4","GPR68,PLPPR4,PRKCE,ADCY4,PLA2G4A,PIK3R3,ADCY1,ADCY8,RXFP1,ADRA2A,AGT,CXCL12,CCKAR,GNG2,CAMK4,ADM2,PPP1R1B,ACKR4,ADORA1,S1PR1,BDKRB2,BDKRB1,ARHGEF2,WNT2","R-HSA-372790~Signaling by GPCR"
"4","2.30","REACTOME_PATHWAY","GPCR downstream signalling","20","179","641","11610","7.38","4.41e-3","2.43e-1","2.02","9.77e-1","2.38e-1","2.07e-3","GPR68,PRKCE,ADCY4,PLA2G4A,PIK3R3,ADCY1,ADCY8,RXFP1,ADRA2A,AGT,CXCL12,CCKAR,GNG2,CAMK4,ADM2,PPP1R1B,ADORA1,BDKRB2,BDKRB1,ARHGEF2","R-HSA-388396~GPCR downstream signalling"
"4","2.30","REACTOME_PATHWAY","GPCR ligand binding","15","179","476","11610","5.54","1.48e-2","4.21e-1","2.04","1.00e+0","4.13e-1","6.82e-3","GPR68,PLPPR4,RXFP1,ADRA2A,AGT,CXCL12,CCKAR,GNG2,ADM2,ACKR4,ADORA1,S1PR1,BDKRB2,BDKRB1,WNT2","R-HSA-500792~GPCR ligand binding"
"4","2.30","REACTOME_PATHWAY","Class A/1 (Rhodopsin-like receptors)","12","179","342","11610","4.43","1.63e-2","4.47e-1","2.28","1.00e+0","4.39e-1","6.72e-3","CXCL12,CCKAR,GPR68,PLPPR4,BDKRB2,ACKR4,ADORA1,S1PR1,BDKRB1,RXFP1,ADRA2A,AGT","R-HSA-373076~Class A/1 (Rhodopsin-like receptors)"
"5","2.14","GOTERM_BP_DIRECT","lacrimal gland development","3","256","7","19172","1.11","3.54e-3","2.42e-1","32.10","9.99e-1","2.40e-1","7.92e-5","SOX9,FGFR2,FGF10","GO:0032808~lacrimal gland development"
"5","2.14","GOTERM_BP_DIRECT","otic vesicle formation","3","256","7","19172","1.11","3.54e-3","2.42e-1","32.10","9.99e-1","2.40e-1","7.92e-5","SOX9,FGFR2,FGF10","GO:0030916~otic vesicle formation"
"5","2.14","GOTERM_BP_DIRECT","limb bud formation","3","256","10","19172","1.11","7.39e-3","3.07e-1","22.47","1.00e+0","3.04e-1","2.63e-4","SOX9,FGFR2,FGF10","GO:0060174~limb bud formation"
"5","2.14","GOTERM_BP_DIRECT","positive regulation of epithelial cell proliferation","5","256","67","19172","1.85","1.22e-2","4.04e-1","5.59","1.00e+0","4.00e-1","2.01e-3","ST8SIA1,SOX9,FGFR2,VEGFA,FGF10","GO:0050679~positive regulation of epithelial cell proliferation"
"5","2.14","WIKIPATHWAYS","Osteoblast differentiation and related diseases","7","160","119","9015","2.58","1.86e-2","3.38e-1","3.31","1.00e+0","3.29e-1","5.18e-3","JAG2,PRKCE,PIK3R3,SOX9,WNT2,FGFR2,FGF10","WP4787:Osteoblast differentiation and related diseases"
